quarter,HDBresale,Landed,Non-landed
1990-Q1,24.3,40.3,41.6
1990-Q2,24.4,40.6,43.1
1990-Q3,25.0,41.5,42.7
1990-Q4,24.7,39.0,41.8
1991-Q1,24.9,41.8,42.8
1991-Q2,25.5,44.8,46.7
1991-Q3,25.2,46.5,47.5
1991-Q4,25.1,48.1,47.7
1992-Q1,25.8,50.5,49.9
1992-Q2,27.4,51.3,52.7
1992-Q3,28.0,52.7,55.2
1992-Q4,28.6,54.7,56.3
1993-Q1,30.2,60.4,57.2
1993-Q2,39.6,69.8,61.6
1993-Q3,47.7,79.4,65.4
1993-Q4,49.0,84.5,68.5
1994-Q1,50.4,95.2,72.7
1994-Q2,51.7,107.6,83.4
1994-Q3,54.6,125.8,88.7
1994-Q4,54.8,126.7,92.3
1995-Q1,57.3,129.6,95.2
1995-Q2,63.9,130.5,96.8
1995-Q3,67.7,133.2,97.7
1995-Q4,73.7,135.1,105.5
1996-Q1,80.5,138.4,110.8
1996-Q2,90.9,140.9,122.2
1996-Q3,96.4,137.8,119.9
1996-Q4,99.0,131.7,118.8
1997-Q1,98.6,129.9,111.9
1997-Q2,97.5,128.9,110.9
1997-Q3,93.6,123.2,106.2
1997-Q4,88.0,116.8,102.9
1998-Q1,81.7,106.3,93.0
1998-Q2,78.3,97.2,85.4
1998-Q3,74.9,81.3,76.8
1998-Q4,72.3,72.8,71.2
1999-Q1,71.2,76.5,75.2
1999-Q2,72.2,87.0,83.5
1999-Q3,78.1,93.8,90.4
1999-Q4,79.8,98.8,95.1
2000-Q1,80.3,100.7,98.5
2000-Q2,79.3,101.0,100.4
2000-Q3,77.6,98.5,97.7
2000-Q4,75.8,97.2,94.2
2001-Q1,73.2,94.4,90.0
2001-Q2,72.1,92.0,89.8
2001-Q3,70.6,88.9,87.3
2001-Q4,69.6,87.0,82.7
2002-Q1,69.1,85.4,82.0
2002-Q2,69.2,85.0,81.4
2002-Q3,69.9,85.4,81.6
2002-Q4,69.9,85.1,81.3
2003-Q1,71.0,84.4,80.6
2003-Q2,72.5,83.8,80.2
2003-Q3,74.3,83.2,79.9
2003-Q4,75.1,83.1,79.9
2004-Q1,75.3,82.7,79.6
2004-Q2,76.2,83.0,79.6
2004-Q3,76.3,83.3,79.9
2004-Q4,77.1,83.6,80.8
2005-Q1,77.2,84.0,81.4
2005-Q2,73.5,84.1,81.9
2005-Q3,73.2,84.8,83.1
2005-Q4,73.5,85.6,84.4
2006-Q1,73.6,86.8,85.7
2006-Q2,74.3,88.2,87.2
2006-Q3,74.2,89.2,90.0
2006-Q4,74.9,91.3,93.8
2007-Q1,75.8,94.0,98.8
2007-Q2,78.1,100.6,107.1
2007-Q3,83.2,108.1,116.0
2007-Q4,88.0,112.7,124.4
2008-Q1,91.3,117.1,129.0
2008-Q2,95.4,117.8,129.0
2008-Q3,99.4,115.7,125.8
2008-Q4,100.8,110.1,117.8
2009-Q1,100.0,100.0,100.0
2009-Q2,101.4,95.3,95.3
2009-Q3,105.0,109.5,110.5
2009-Q4,109.0,118.6,118.4
2010-Q1,112.1,128.4,124.3
2010-Q2,116.6,136.4,130.5
2010-Q3,121.3,147.0,132.6
2010-Q4,124.4,155.1,135.0
2011-Q1,126.4,161.1,137.3
2011-Q2,130.4,166.9,139.2
2011-Q3,135.4,170.8,140.8
2011-Q4,137.7,171.0,141.2
2012-Q1,138.5,171.2,141.0
2012-Q2,140.3,171.9,141.6
2012-Q3,143.1,173.9,142.3
2012-Q4,146.7,177.0,144.8
2013-Q1,148.6,177.8,145.9
2013-Q2,149.4,178.4,148.0
2013-Q3,148.1,178.9,148.9
2013-Q4,145.8,177.1,147.6
2014-Q1,143.5,175.9,145.7
2014-Q2,141.5,172.9,144.5
2014-Q3,139.1,169.8,143.9
2014-Q4,137.0,167.6,142.5
2015-Q1,135.6,166.1,140.9
2015-Q2,135.0,164.4,139.8
2015-Q3,134.6,163.7,137.7
2015-Q4,134.8,160.8,137.4
2016-Q1,134.7,159.0,136.6
2016-Q2,134.7,156.6,136.5
2016-Q3,134.7,152.4,134.9
2016-Q4,134.6,153.6,133.8
2017-Q1,133.9,150.8,133.8
2017-Q2,133.7,150.3,133.7
2017-Q3,132.8,152.1,134.5
2017-Q4,132.6,152.9,135.6
2018-Q1,131.6,155.8,141.6
2018-Q2,131.7,162.2,146.1
2018-Q3,131.6,165.9,146.1
2018-Q4,131.4,162.6,146.8
2019-Q1,131.0,164.4,145.2
